sample_id,trace_id,parent_folder,peak_count,mean_peak_amplitude,max_peak_amplitude,stimulus_capsaicin_100nM_has_peak,stimulus_capsaicin_100nM_max_height,stimulus_capsaicin_100nM_peak_time,stimulus_capsaicin_100nM_gradient_time,stimulus_capsaicin_100nM_max_gradient,stimulus_KCl_50mM_has_peak,stimulus_KCl_50mM_max_height,stimulus_KCl_50mM_peak_time,stimulus_KCl_50mM_gradient_time,stimulus_KCl_50mM_max_gradient,stimulus_KCl_75mM_has_peak,stimulus_KCl_75mM_max_height,stimulus_KCl_75mM_peak_time,stimulus_KCl_75mM_gradient_time,stimulus_KCl_75mM_max_gradient,sample_corr_global,stimulus_corr_capsaicin_100nM,stimulus_corr_KCl_50mM,stimulus_corr_KCl_75mM,group
4th_B3,4th_B3_2,run_real_data_20260318_174848_real_4th_B3_ica_mukamel_n_120,5,1.6756883737297295,2.6218255885538326,True,1.1239220860362633,101.44318761438987,99.94299258903658,0.17992153662283358,True,1.3271665974192264,200.99612949683458,200.57607488973565,0.18381983968231916,True,2.361066518996597,369.67805814755917,341.4143838699031,1.7275769717941045,0.19660079808038075,0.17548635090812456,0.17625407661561113,0.14118739192975327,Control
4th_B3,4th_B3_3,run_real_data_20260318_174848_real_4th_B3_ica_mukamel_n_120,5,3.059840736028921,6.858790167728366,True,2.8332270824807737,101.89324612199586,101.65321491793934,0.24898629543228792,True,4.486496041053936,200.6360826907498,199.10588376488943,0.27364011635126734,True,6.858790167728366,300.3090401752228,299.5889465630532,0.1778008364583235,0.19660079808038075,0.17548635090812456,0.17625407661561113,0.14118739192975327,Control
4th_B3,4th_B3_4,run_real_data_20260318_174848_real_4th_B3_ica_mukamel_n_120,4,3.9507944539346305,5.490760049982585,True,4.961919825057207,102.67334753517957,102.31330072909478,0.22190388006974668,True,5.344590144453739,200.99612949683458,199.91598907858022,0.3009574707366892,True,5.490760049982585,301.74922739956196,301.56920399651955,0.28090637470477736,0.19660079808038075,0.17548635090812456,0.17625407661561113,0.14118739192975327,Control
4th_B3,4th_B3_5,run_real_data_20260318_174848_real_4th_B3_ica_mukamel_n_120,0,0.0,0.0,False,,,,,False,,,,,False,,,,,0.19660079808038075,0.17548635090812456,0.17625407661561113,0.14118739192975327,Control
4th_B3,4th_B3_6,run_real_data_20260318_174848_real_4th_B3_ica_mukamel_n_120,0,0.0,0.0,False,,,,,False,,,,,False,,,,,0.19660079808038075,0.17548635090812456,0.17625407661561113,0.14118739192975327,Control
4th_B3,4th_B3_7,run_real_data_20260318_174848_real_4th_B3_ica_mukamel_n_120,4,3.5101230247425623,5.460816862699108,True,5.1718331568120455,101.2331603108404,100.21302769360017,0.5455701157736729,True,1.596947317552225,242.61153950013502,232.44021722823967,2.0067867216993713,True,5.460816862699108,300.57907527978637,299.82897776710973,0.9197394439913934,0.19660079808038075,0.17548635090812456,0.17625407661561113,0.14118739192975327,Control
4th_B3,4th_B3_8,run_real_data_20260318_174848_real_4th_B3_ica_mukamel_n_120,4,2.664002066643085,5.048290058858448,False,,,,,True,5.048290058858448,200.6360826907498,200.6360826907498,0.7334938173062338,True,2.641967670510003,301.3591766929701,299.79897386660264,0.8786413898251366,0.19660079808038075,0.17548635090812456,0.17625407661561113,0.14118739192975327,Control
1st_B2,1st_B2_0,run_real_data_20260318_174848_real_1st_B2_ica_mukamel_n_120,3,4.182862315939496,8.380677207377905,True,8.380677207377905,101.57796844063118,101.09797804043919,0.10391977057662855,True,3.8443935860506153,201.08597828043438,200.1859962800744,0.1035436853477104,False,,,,,0.08569812779615271,0.05685975454171763,0.038012220974149094,0.042119796451914826,Control
1st_B2,1st_B2_1,run_real_data_20260318_174848_real_1st_B2_ica_mukamel_n_120,3,5.0798567735009295,6.964908180196234,True,5.443875942365534,101.00797984040318,99.29801403971919,0.13382060381420952,False,,,,,True,2.83078619794102,300.2039959200816,298.9740205195896,0.10851742274081246,0.08569812779615271,0.05685975454171763,0.038012220974149094,0.042119796451914826,Control
1st_B2,1st_B2_2,run_real_data_20260318_174848_real_1st_B2_ica_mukamel_n_120,5,2.9906709381035688,6.976610857886349,True,6.976610857886349,101.75796484070318,101.45797084058317,0.3367488357203918,True,5.010278854941351,199.91600167996637,199.5260094798104,0.35796442785262456,True,2.4986914871807118,300.3839923201536,299.4840103197936,0.30892876640741035,0.08569812779615271,0.05685975454171763,0.038012220974149094,0.042119796451914826,Control
1st_B2,1st_B2_3,run_real_data_20260318_174848_real_1st_B2_ica_mukamel_n_120,8,2.1977393627689654,6.594557328020767,True,6.594557328020767,100.49799004019918,100.10799784004318,0.43775385844388537,True,5.804885561872341,199.8260034799304,199.1660166796664,0.41549327418211035,True,0.4819467428545795,329.90340193196135,311.24377512449746,1.1771648662850311,0.08569812779615271,0.05685975454171763,0.038012220974149094,0.042119796451914826,Control
1st_B2,1st_B2_4,run_real_data_20260318_174848_real_1st_B2_ica_mukamel_n_120,0,0.0,0.0,False,,,,,False,,,,,False,,,,,0.08569812779615271,0.05685975454171763,0.038012220974149094,0.042119796451914826,Control
1st_B2,1st_B2_5,run_real_data_20260318_174848_real_1st_B2_ica_mukamel_n_120,0,0.0,0.0,False,,,,,False,,,,,False,,,,,0.08569812779615271,0.05685975454171763,0.038012220974149094,0.042119796451914826,Control
